KabKota,ID,Timestamp,Tahun,Pengeluaran Konsumsi Rumah Tangga,Pengeluaran Konsumsi LNPRT,Pengeluaran Konsumsi Pemerintah,Pembentukan Modal Tetap Bruto,Perubahan Inventori,Net Ekspor,PDRB
Lombok Tengah,5202,2025-10-13 14:56:16,2016,10499.16,156.83,2056.75,6278.14,46.49,-4613.61,14423.75
Lombok Timur,5203,2025-10-13 14:56:16,2016,12640.43,457.52,2713.08,5982.92,68.88,-5891.77,15971.05
Sumbawa,5204,2025-10-13 14:56:16,2016,8785.94,156.76,1776.09,4670.43,58.77,-4074.95,11373.04
Dompu,5205,2025-10-13 14:56:16,2016,4179.84,83,1502.94,2265.59,26.29,-2503.4,5554.27
Bima,5206,2025-10-13 14:56:16,2016,6809.5,138.89,1927.4,3798.17,36.48,-3579.9,9130.54
Sumbawa Barat,5207,2025-10-13 14:56:16,2016,2978.62,102.19,1193.5,4140.72,601.94,16714.51,25731.46
Lombok Utara,5208,2025-10-13 14:56:16,2016,3120.28,43.95,1118.07,1453.34,15.9,-1779.22,3972.34
Kota Mataram,5271,2025-10-13 14:56:16,2016,9520.07,197.98,2502.86,5659.58,44.25,-3124.77,14799.97
Kota Bima,5272,2025-10-13 14:56:16,2016,2395.54,64.13,1224.14,1219.92,17.69,-1621.99,3299.43
Sumba Barat,5301,2025-10-13 14:56:16,2016,1463.53,56.5,755.48,693.86,30.63,-1172.18,1827.8
Sumba Timur,5302,2025-10-13 14:56:16,2016,3005.91,163.08,1353.44,2014.8,32.2,-1611.06,4958.38
Kupang,5303,2025-10-13 14:56:16,2016,3286.57,163.32,1497.34,2181.65,1.8,-1109.98,6020.7
Timor Tengah Selatan,5304,2025-10-13 14:56:16,2016,4669.86,114.51,1347.28,2290.44,35.32,-2298.61,6158.79
Timor Tengah Utara,5305,2025-10-13 14:56:16,2016,2592.73,122.03,822.83,1483.8,32.07,-1783.62,3269.83
Belu,5306,2025-10-13 14:56:16,2016,2520.36,70.36,994.31,1403.87,45.26,-1582.64,3451.52
Alor,5307,2025-10-13 14:56:16,2016,1827.01,69.19,1112.53,1120.01,16.13,-1734.98,2409.88
Lembata,5308,2025-10-13 14:56:16,2016,1125.23,44.81,769.67,409.19,4.3,-887.88,1465.33
Flores Timur,5309,2025-10-13 14:56:16,2016,3225.01,143.54,1240.44,1116.32,8.26,-1570.33,4163.25
Sikka,5310,2025-10-13 14:56:16,2016,3205.58,127.15,1081.08,1819.71,13.91,-2273.62,3973.81
Ende,5311,2025-10-13 14:56:16,2016,3522.67,131,1160.31,2524.11,26.27,-2453.7,4910.67
Ngada,5312,2025-10-13 14:56:16,2016,1735.98,79.92,755.02,752.22,56.03,-590.24,2788.92
Manggarai,5313,2025-10-13 14:56:16,2016,2611.16,127.95,1129.23,1627.85,26.96,-1882.39,3640.75
Rote Ndao,5314,2025-10-13 14:56:16,2016,1568.88,84.94,759.8,827.78,22.46,-859.03,2404.82
Manggarai Barat,5315,2025-10-13 14:56:16,2016,2374.23,35.48,851.97,1423.95,16.62,-2045.37,2656.88
Sumba Tengah,5316,2025-10-13 14:56:16,2016,725.85,32.81,540.66,405.99,12.02,-800.17,917.16
Sumba Barat Daya,5317,2025-10-13 14:56:16,2016,2288.42,106.58,827.46,848.69,8.38,-1119.03,2960.49
Nagekeo,5318,2025-10-13 14:56:16,2016,1433.18,124.06,926.57,590.1,14.33,-1315.84,1772.4
Manggarai Timur,5319,2025-10-13 14:56:16,2016,1945.14,33.8,863.97,899.72,9.99,-1259.01,2493.61
Sabu Raijua,5320,2025-10-13 14:56:16,2016,678.41,29.63,359.42,429.69,0,-417.91,1079.24
Malaka,5321,2025-10-13 14:56:16,2016,1895.32,48.22,864.21,1200.89,14.81,-1842.7,2180.76
Kota Kupang,5371,2025-10-13 14:56:16,2016,13815.37,750.9,4419.28,12764.29,50.76,-13037.17,18763.44
Sambas,6101,2025-10-13 14:56:16,2016,8836.32,151.72,1634.84,4723.67,285.55,394.33,16026.44
Bengkayang,6102,2025-10-13 14:56:16,2016,3923.08,108.67,998.28,2190.24,78.79,-575.01,6724.04
Landak,6103,2025-10-13 14:56:16,2016,4882.44,98.57,1121.1,2312.61,129.7,-350.71,8193.7
Mempawah,6104,2025-10-13 14:56:16,2016,3874.05,24.69,1183.45,1627.7,45.25,-434.83,6320.31
Sanggau,6105,2025-10-13 14:56:16,2016,9388.24,142.55,1696.09,5995.36,310.4,-2060.13,15472.5
Ketapang,6106,2025-10-13 14:56:16,2016,10116.19,139.67,1879.59,7639.28,155.24,91.17,20021.15
Sintang,6107,2025-10-13 14:56:16,2016,6201.5,114.94,1452.58,4274.58,90.51,-932.06,11202.05
Kapuas Hulu,6108,2025-10-13 14:56:16,2016,4486.5,27.12,1320.2,2710.68,26.99,-729.01,7842.49
Sekadau,6109,2025-10-13 14:56:16,2016,2719.9,54.17,705.38,1562.57,49.31,-282.75,4808.58
Melawi,6110,2025-10-13 14:56:16,2016,2525.14,48.86,980.16,1176.8,214.39,-937.91,4007.44
Kayong Utara,6111,2025-10-13 14:56:16,2016,1794.08,42.36,656.51,963.97,9.33,-313.69,3152.56
Kubu Raya,6112,2025-10-13 14:56:16,2016,11042.71,330.23,1358.55,7799.11,363.05,242.29,21135.94
Kota Pontianak,6171,2025-10-13 14:56:16,2016,15188,296.46,3702.15,10175.99,383.57,728.37,30474.54
Kota Singkawang,6172,2025-10-13 14:56:16,2016,4141.13,236.33,1068.53,3155.44,35.83,-414.02,8223.24
Kotawaringin Barat,6201,2025-10-13 14:56:16,2016,5367.6,160.56,1082.37,7143.37,208.64,615.99,14578.52
Kotawaringin Timur,6202,2025-10-13 14:56:16,2016,7699.54,184,1402.14,8776.12,189,1372.1,19622.9
Kapuas,6203,2025-10-13 14:56:16,2016,5797.21,202.22,1333.51,5042.23,219.13,-591.45,12002.85
Barito Selatan,6204,2025-10-13 14:56:16,2016,2418.88,159.33,787.56,2435.64,115.89,-1028.1,4889.19
Barito Utara,6205,2025-10-13 14:56:16,2016,2959.88,132,849.46,3371.78,252.53,-206.84,7358.81
Sukamara,6206,2025-10-13 14:56:16,2016,1003.72,49.2,449.84,1349.73,-15.84,368.45,3205.1
Lamandau,6207,2025-10-13 14:56:16,2016,1347.92,28.89,537.14,1908.2,37.7,212.86,4072.72
Seruyan,6208,2025-10-13 14:56:16,2016,2862.78,48.4,662.57,2893.68,67.96,373.92,6909.31
Katingan,6209,2025-10-13 14:56:16,2016,3137.94,69.25,994.36,2907.7,24.43,-1006.17,6127.5
Pulang Pisau,6210,2025-10-13 14:56:16,2016,2092.62,36.51,814.04,2065.21,-38.99,-939.59,4029.8
Gunung Mas,6211,2025-10-13 14:56:16,2016,2335.13,80.54,694.84,2424.76,86.41,-1387.42,4234.27
Barito Timur,6212,2025-10-13 14:56:16,2016,2121.95,41.44,787.89,2475.36,183.13,17.87,5627.64
Murung Raya,6213,2025-10-13 14:56:16,2016,2368.97,35.14,997.21,2356.23,94,297.09,6148.64
Kota Palangka Raya,6271,2025-10-13 14:56:16,2016,5401.32,289.46,4798.72,5397.31,170,-3263.87,12792.94
Tanah Laut,6301,2025-10-13 14:56:16,2016,5171.72,123.25,1203.73,2460.31,-159.5,2593.31,11392.82
Kota Baru,6302,2025-10-13 14:56:16,2016,5390.27,118.08,1773.56,3583.74,-54.32,8678.04,19489.36
Banjar,6303,2025-10-13 14:56:16,2016,8887.25,125.75,1963.99,4038.01,7.53,-1682.56,13339.97
Barito Kuala,6304,2025-10-13 14:56:16,2016,4631.88,103.74,1115.24,2014.45,-70.03,-952.02,6843.25
Tapin,6305,2025-10-13 14:56:16,2016,3072.56,104.08,1147.09,1448.17,-166.75,1291.87,6897.02
Hulu Sungai Selatan,6306,2025-10-13 14:56:16,2016,3611.41,87.27,1141.7,1560.1,-54.83,-1147.1,5198.55
Hulu Sungai Tengah,6307,2025-10-13 14:56:16,2016,4075.25,96.7,1144.34,1649.92,-49.46,-1269.12,5647.63
Hulu Sungai Utara,6308,2025-10-13 14:56:16,2016,3385.39,90.59,1054.6,1031.05,-0.73,-1695.52,3865.39
Tabalong,6309,2025-10-13 14:56:16,2016,3993.8,90.24,1374.35,2113.21,-80.14,7785.45,15276.91
Tanah Bumbu,6310,2025-10-13 14:56:16,2016,5217.17,100.08,1289.08,2535.95,-73.36,7490.35,16559.27
Balangan,6311,2025-10-13 14:56:16,2016,1968.87,82.39,957.37,1916.5,-81.62,4574.99,9418.51
Kota Banjarmasin,6371,2025-10-13 14:56:16,2016,16062.06,173.02,2923.42,7229.49,51.95,-1145.75,25294.18
Kota Banjar Baru,6372,2025-10-13 14:56:16,2016,3817.25,148.06,1981.71,3037.98,-57.9,-1755.28,7171.82
Paser,6401,2025-10-13 14:56:16,2016,5316.15,60.53,1363.78,7344.86,228.92,22975.44,37289.69
Kutai Barat,6402,2025-10-13 14:56:16,2016,3666.73,199.43,1933.84,8504.08,41.96,7675.09,22021.13
Kutai Kartanegara,6403,2025-10-13 14:56:16,2016,15469.44,423.08,4031.44,43390.3,618.56,63936.52,127869.34
Kutai Timur,6404,2025-10-13 14:56:16,2016,6735.32,243.2,2218.57,17848.66,411.88,67728.67,95186.3
Berau,6405,2025-10-13 14:56:16,2016,4037.35,253.78,1276.64,6897.11,52.6,18296.86,30814.34
Penajam Paser Utara,6409,2025-10-13 14:56:16,2016,3219.52,43.83,1002.74,2537.91,28.3,849.37,7681.67
Mahakam Ulu,6411,2025-10-13 14:56:16,2016,474.66,19.37,255.48,511.58,6.33,874.7,2142.12
Kota Balikpapan,6471,2025-10-13 14:56:16,2016,21669.27,401.4,2960.49,32655.76,273.41,22241.58,80201.92
Kota Samarinda,6472,2025-10-13 14:56:16,2016,25299.29,529.03,7745.99,21605.5,506.05,-3038.49,52647.37
Kota Bontang,6474,2025-10-13 14:56:16,2016,4945.85,226.91,929.61,5794.08,51.48,43291.38,55239.31
Malinau,6501,2025-10-13 14:56:16,2016,1892.98,82.09,1493.88,3070.73,90.51,658.44,7288.64
Bulungan,6502,2025-10-13 14:56:16,2016,2779,94.13,1950.42,7126.81,31.23,1653.14,13634.74
Tana Tidung,6503,2025-10-13 14:56:16,2016,405.35,65.14,664.87,1617.87,43.85,1412.65,4209.73
Nunukan,6504,2025-10-13 14:56:16,2016,3362.49,66.2,1219.63,5361.71,50.67,6441.29,16501.99
Kota Tarakan,6571,2025-10-13 14:56:16,2016,4640.55,241.24,1396.85,6855.89,191.18,11060.69,24386.4
Bolaang Mongondow,7101,2025-10-13 14:56:16,2016,3073.3,47.68,1353.14,1534.75,0.91,-62.73,5947.05
Minahasa,7102,2025-10-13 14:56:16,2016,5716.26,542.59,1519.29,5595.48,0.1,-46.91,13326.82
Kepulauan Sangihe,7103,2025-10-13 14:56:16,2016,1693.22,43.73,973.75,893.92,2.78,-243.71,3363.68
Kepulauan Talaud,7104,2025-10-13 14:56:16,2016,1181.91,33.19,718.96,533.34,1.53,-695.97,1772.97
Minahasa Selatan,7105,2025-10-13 14:56:16,2016,3224.98,228.1,1066.98,2510.41,1.62,-364.51,6667.58
Minahasa Utara,7106,2025-10-13 14:56:16,2016,4312.06,164.21,1118.2,4335.16,-2.28,478.4,10405.74
Bolaang Mongondow Utara,7107,2025-10-13 14:56:16,2016,872.6,24.6,577.44,515.45,0.58,-66.99,1923.67
Siau Tagulandang Biaro,7108,2025-10-13 14:56:16,2016,1097.42,114.16,780,534.71,0.24,-761.48,1765.05
Minahasa Tenggara,7109,2025-10-13 14:56:16,2016,2214.2,109.63,650.88,1797.82,0.06,-810.11,3962.47
Bolaang Mongondow Selatan,7110,2025-10-13 14:56:16,2016,758.81,17.36,375.1,420.1,0.09,5.26,1576.71
Bolaang Mongondow Timur,7111,2025-10-13 14:56:16,2016,1013.51,20.06,575.39,443.88,0.14,155,2207.98
Kota Manado,7171,2025-10-13 14:56:16,2016,12079.51,411.96,4979.63,8736.98,-3.73,2126.83,28331.19
Kota Bitung,7172,2025-10-13 14:56:16,2016,4860.62,145.54,1234.37,3444.98,6.66,2990.29,12682.46
Kota Tomohon,7173,2025-10-13 14:56:16,2016,1771.75,40.07,785.11,1781.15,0.69,-1156.16,3222.61
Kota Kotamobagu,7174,2025-10-13 14:56:16,2016,1472.82,39.58,815.42,796.53,0.13,-405.48,2719
Banggai Kepulauan,7201,2025-10-13 14:56:16,2016,1822.8,25.38,485.84,1049.09,9.67,-395.55,2997.23
Banggai,7202,2025-10-13 14:56:16,2016,8327.59,294.35,2283.77,10744.19,1296.33,-2066.94,20879.28
Morowali,7203,2025-10-13 14:56:16,2016,3639.96,86.44,629,9638.62,1477.02,-937.63,14533.43
Poso,7204,2025-10-13 14:56:16,2016,4246.79,109.09,1424.55,3071.2,76.1,-1642.67,7285.05
Donggala,7205,2025-10-13 14:56:16,2016,4752.71,120.17,1387.58,3686.29,241.06,-204.2,9983.62
Toli-Toli,7206,2025-10-13 14:56:16,2016,3555.26,78.99,1055.27,1757.9,244.53,-127.05,6564.9
Buol,7207,2025-10-13 14:56:16,2016,2649.3,51.43,910.83,1900.61,57.13,-760.33,4808.97
Parigi Moutong,7208,2025-10-13 14:56:16,2016,8651.23,712.14,1731.43,7535.05,261.22,-4645.32,14245.74
Tojo Una-Una,7209,2025-10-13 14:56:16,2016,2334.69,56.54,1005.34,1257.97,33.23,-92.54,4595.22
Sigi,7210,2025-10-13 14:56:16,2016,4283.89,143.16,1082.27,3409.13,143.15,-1797.66,7263.95
Banggai Laut,7211,2025-10-13 14:56:16,2016,1363.47,14.81,271,489.95,4.98,-301.02,1843.19
Morowali Utara,7212,2025-10-13 14:56:16,2016,3857.07,76.1,702.49,1904.85,45.94,1730.93,8317.38
Kota Palu,7271,2025-10-13 14:56:16,2016,11058.75,362.9,3037.64,7415.75,276.88,-3581.9,18570.03
Kepulauan Selayar,7301,2025-10-13 14:56:16,2016,2570.93,43.3,708.03,2014.64,-19.89,-650.93,4666.09
Bulukumba,7302,2025-10-13 14:56:16,2016,6476.59,92.98,1271.95,2743.84,230.53,-45.96,10769.94
Bantaeng,7303,2025-10-13 14:56:16,2016,3577.68,105.77,822.7,2998.45,80.9,-1288.09,6297.4
Jeneponto,7304,2025-10-13 14:56:16,2016,4979.14,145.79,927.01,2501.08,108.75,-812.57,7849.19
Takalar,7305,2025-10-13 14:56:16,2016,4697.39,120.41,985.66,1638.94,47.33,260.64,7750.36
Gowa,7306,2025-10-13 14:56:16,2016,9640.9,214.63,1810.79,4960.8,-122.48,-1033.55,15471.11
Sinjai,7307,2025-10-13 14:56:16,2016,4751.4,85.68,904.96,3272.47,-46.5,-673.13,8294.88
Maros,7308,2025-10-13 14:56:16,2016,8274.21,179.26,1238.3,3711.28,303.45,4155.03,17861.53
Pangkajene dan Kepulauan,7309,2025-10-13 14:56:16,2016,7676.83,172.23,1142.21,2629.46,352.93,8581.91,20555.57
Barru,7310,2025-10-13 14:56:16,2016,3343.55,29.36,744.89,2336.27,14.71,-1010.02,5458.75
Bone,7311,2025-10-13 14:56:16,2016,14779.08,261.58,2560.89,8748.99,270.09,-366.23,26254.4
Soppeng,7312,2025-10-13 14:56:16,2016,4453.75,89.14,853.37,3065.94,55.95,-622.21,7895.94
Wajo,7313,2025-10-13 14:56:16,2016,10193.57,175.37,1234.24,5021.33,333.17,-412.95,16544.74
Sidenreng Rappang,7314,2025-10-13 14:56:16,2016,6110.19,154.07,1041.12,4023.36,134.68,-721.45,10741.96
Pinrang,7315,2025-10-13 14:56:16,2016,8247.68,97.83,1090.94,5293.17,157.88,-183.74,14703.75
Enrekang,7316,2025-10-13 14:56:16,2016,3530.8,56.07,990.8,2171.32,174.41,-1032.51,5890.9
Luwu,7317,2025-10-13 14:56:16,2016,7077.22,112.71,1207.35,4035.67,153.99,-735.07,11851.86
Tana Toraja,7318,2025-10-13 14:56:16,2016,3244.51,77.06,919.18,1826.4,43.86,-650.62,5460.38
Luwu Utara,7322,2025-10-13 14:56:16,2016,5786.68,94.52,1079.78,2930.03,31.21,-145.27,9776.94
Luwu Timur,7325,2025-10-13 14:56:16,2016,6654.12,168.83,889.64,4680.52,-294.97,5296.93,17395.07
Toraja Utara,7326,2025-10-13 14:56:16,2016,3972.21,166.12,906.25,2566.71,106.75,-929.82,6788.21
Kota Makasar,7371,2025-10-13 14:56:16,2016,69151.95,1818.57,12583.77,62729.18,2658.37,-20896.47,128045.37
Kota Parepare,7372,2025-10-13 14:56:16,2016,2940.51,25.11,902.93,2341.7,14.43,-698.74,5525.93
Kota Palopo,7373,2025-10-13 14:56:16,2016,3388.89,81.8,840.64,2403.31,26.5,-854.63,5886.52
Buton,7401,2025-10-13 14:56:16,2016,1640.68,37.4,450.76,1073,10.55,-164.12,3048.27
Muna,7402,2025-10-13 14:56:16,2016,3361.42,51.77,1045.12,1849.74,52.25,-905.23,5455.09
Konawe,7403,2025-10-13 14:56:16,2016,4151.1,82.13,1249.9,2283.37,43.12,-1153.98,6655.64
Kolaka,7404,2025-10-13 14:56:16,2016,4927.66,115.6,830.12,9229.32,-249.13,3520.86,18374.43
Konawe Selatan,7405,2025-10-13 14:56:16,2016,5000.7,130.63,1026.95,2969.99,105.66,-12.25,9221.69
Bombana,7406,2025-10-13 14:56:16,2016,2546.73,59.74,582.49,1450.6,120.18,170.14,4929.88
Wakatobi,7407,2025-10-13 14:56:16,2016,1577.04,51.36,737.48,908.32,0.52,28.95,3303.67
Kolaka Utara,7408,2025-10-13 14:56:16,2016,3018.31,55.25,566.67,2404.65,39.58,523.6,6608.05
Buton Utara,7409,2025-10-13 14:56:16,2016,1038.53,18.9,471.04,895.76,3.15,-20,2407.38
Konawe Utara,7410,2025-10-13 14:56:16,2016,1037.78,39.51,424.72,766.38,75.77,615.25,2959.43
Kolaka Timur,7411,2025-10-13 14:56:16,2016,2204.82,27.16,346.06,1223.69,57.68,-357.57,3501.84
Konawe Kepulauan,7412,2025-10-13 14:56:16,2016,560.53,11.8,379.46,332.62,4.92,-247.88,1041.45
Muna Barat,7413,2025-10-13 14:56:16,2016,1675.25,23.41,324.66,864.85,10.69,-931.37,1967.48
Buton Tengah,7414,2025-10-13 14:56:16,2016,1094.81,20.39,252.35,692.34,4.83,-265.03,1799.69
Buton Selatan,7415,2025-10-13 14:56:16,2016,1290.74,24.93,300.97,809.17,5.88,-195.97,2235.73
Kota Kendari,7471,2025-10-13 14:56:16,2016,9317.31,152.28,4189.14,7014.1,-113.2,-3493.05,17066.57
Kota Baubau,7472,2025-10-13 14:56:16,2016,3939.59,71.78,998.56,2913.28,76.24,-1222.89,6776.55
Boalemo,7501,2025-10-13 14:56:16,2016,2493.72,22.1,848.91,860.65,109.53,-194.72,4140.2
Gorontalo,7502,2025-10-13 14:56:16,2016,6148.08,77.92,1614.38,3645.19,171.24,-1662.84,9993.98
Pohuwato,7503,2025-10-13 14:56:16,2016,2890.58,27.94,867.85,1068.36,123.36,140.58,5118.66
Bone Bolango,7504,2025-10-13 14:56:16,2016,2150.87,20.06,1001.03,989.03,104.33,-757.2,3508.13
Gorontalo Utara,7505,2025-10-13 14:56:16,2016,1545.16,38.08,598.96,833.85,46.48,-501.43,2561.09
Kota Gorontalo,7571,2025-10-13 14:56:16,2016,4182.41,38.56,2322.31,2328.69,128.29,-2533.87,6466.38
Majene,7601,2025-10-13 14:56:16,2016,2455.62,44.21,924.44,1031.37,-60.43,-594.22,3800.99
Polewali Mandar,7602,2025-10-13 14:56:16,2016,6244.57,53.54,1329.02,2757.68,259.69,-329.65,10314.87
Mamasa,7603,2025-10-13 14:56:16,2016,1654.64,42.16,808.84,682.42,45.68,-900.55,2333.18
Mamuju,7604,2025-10-13 14:56:16,2016,4749.59,65.34,2574.78,2940.26,-132.58,-1107.12,9090.27
Mamuju Utara,7605,2025-10-13 14:56:16,2016,2344.25,38.07,727.69,2800.57,-200.14,2333.48,8043.93
Mamuju Tengah,7606,2025-10-13 14:56:16,2016,1556.17,29.82,394.57,645.03,37.38,-176.54,2486.43
Maluku Tenggara Barat,8101,2025-10-13 14:56:16,2016,1658.65,76.42,1203.59,1058.86,26.92,-1915.48,2108.96
Maluku Tenggara,8102,2025-10-13 14:56:16,2016,1634.69,61.67,1102.29,920.5,21.14,-1241.21,2499.08
Maluku Tengah,8103,2025-10-13 14:56:16,2016,5796.16,169.67,2368.53,1594.37,21.87,-2913.78,7036.81
Buru,8104,2025-10-13 14:56:16,2016,1668.86,49.13,985.98,801.56,13.89,-1607.75,1911.67
Kepulauan Aru,8105,2025-10-13 14:56:16,2016,1255.57,54.09,938.2,798.2,10.16,-240.49,2815.72
Seram Bagian Barat,8106,2025-10-13 14:56:16,2016,2028.3,55.24,1325.62,1071.83,24.91,-2081.19,2424.71
Seram Bagian Timur,8107,2025-10-13 14:56:16,2016,1368.6,34.53,1032.27,782.35,14.84,-992.37,2240.23
Maluku Barat Daya,8108,2025-10-13 14:56:16,2016,832.45,20.62,800.12,475.73,9.65,-838.14,1300.44
Buru Selatan,8109,2025-10-13 14:56:16,2016,964.97,32.8,822.54,486.11,15.61,-1209.42,1112.6
Kota Ambon,8171,2025-10-13 14:56:16,2016,7920.14,240.53,3842.16,2365.54,20.42,-2394.5,11994.29
Kota Tual,8172,2025-10-13 14:56:16,2016,1296.31,36.93,777.33,608.37,16.48,-832.98,1902.44
Halmahera Barat,8201,2025-10-13 14:56:16,2016,1109.43,59.54,582.67,388.56,2.87,-356.83,1786.24
Halmahera Tengah,8202,2025-10-13 14:56:16,2016,644.22,23.88,631.72,806.95,-21.06,-316.74,1768.97
Kepulauan Sula,8203,2025-10-13 14:56:16,2016,1081.7,10.57,465.19,536.11,-14.48,-130.73,1948.34
Halmahera Selatan,8204,2025-10-13 14:56:16,2016,2819.85,21.89,827.59,1507.15,397.28,-1214.35,4359.41
Halmahera Utara,8205,2025-10-13 14:56:16,2016,2375.58,51.92,1088.84,1320.61,-13.43,-342.34,4481.16
Halmahera Timur,8206,2025-10-13 14:56:16,2016,1113.93,48.97,748.31,1098.66,-6.07,-491.19,2512.6
Pulau Morotai,8207,2025-10-13 14:56:16,2016,593.65,5.26,278.14,365.06,0.57,-40.78,1201.9
Pulau Taliabu,8208,2025-10-13 14:56:16,2016,506.63,1.36,134.75,570.28,3.65,-150.58,1066.1
Kota Ternate,8271,2025-10-13 14:56:16,2016,5574.2,92.89,2569.38,1266.9,-121.94,-1504.2,7877.22
Kota Tidore Kepulauan,8272,2025-10-13 14:56:16,2016,1235.77,29.71,2076.58,522.84,20.76,-1629.27,2256.38
Fakfak,9101,2025-10-13 14:56:16,2016,2123.88,59.93,1736.8,1580.4,186.97,-1609.13,4078.85
Kaimana,9102,2025-10-13 14:56:16,2016,829.35,43.57,1492.43,745.56,63.49,-1021.33,2153.07
Teluk Wondama,9103,2025-10-13 14:56:16,2016,396,22.07,668.3,377.51,52.17,-304.32,1211.72
Teluk Bintuni,9104,2025-10-13 14:56:16,2016,919.84,38.84,1120.43,678.52,1267.66,20619.55,24644.84
Manokwari,9105,2025-10-13 14:56:16,2016,3475.13,167.92,2608.84,3867.24,47.02,-2547.17,7618.98
Manokwari Selatan,9111,2025-10-13 14:56:16,2016,468.44,16.8,247.35,49.56,17.51,-151.53,648.13
Pegunungan Arfak,9112,2025-10-13 14:56:16,2016,97.5,2.07,87.26,24.26,-2.45,-51.79,156.86
Raja Ampat,9201,2025-10-13 14:56:16,2016,711.7,31.71,821.11,441.03,68.85,341.79,2416.18
Sorong,9202,2025-10-13 14:56:16,2016,2254.34,103.83,1641.26,1558.5,405.48,2978.36,8941.76
Sorong Selatan,9203,2025-10-13 14:56:16,2016,565.98,31.82,847.94,537.93,58.42,-561,1481.09
Maybrat,9204,2025-10-13 14:56:16,2016,455.03,17.29,557.9,127.61,0.08,-613.54,544.38
Tambrauw,9205,2025-10-13 14:56:16,2016,66.39,6.34,121.68,47.42,4.34,-71.18,174.98
Kota Sorong,9271,2025-10-13 14:56:16,2016,5941.92,92.76,1943.98,4229.61,667.95,-512.88,12363.35
Jayapura,9403,2025-10-13 14:56:16,2016,5332.74,72,2315.61,2541.83,10.89,1237.75,11510.82
Kepulauan Yapen,9408,2025-10-13 14:56:16,2016,2456.65,133.1,560.48,762.04,4.81,-569.95,3347.13
Biak Numfor,9409,2025-10-13 14:56:16,2016,3878.36,243.78,1132.08,1013.86,9.01,-1225.08,5052
Sarmi,9419,2025-10-13 14:56:16,2016,1482.78,12.52,772.23,980.91,5.09,-1195.23,2058.31
Keerom,9420,2025-10-13 14:56:16,2016,1653.14,23.01,740.02,1133.68,2.87,-1216.53,2336.18
Waropen,9426,2025-10-13 14:56:16,2016,1068.79,28.29,570.92,731.65,2.61,-800.8,1601.47
Supiori,9427,2025-10-13 14:56:16,2016,720.81,44.66,295.81,459.35,2.23,-692.42,830.44
Mamberamo Raya,9428,2025-10-13 14:56:16,2016,831.28,17.03,395.86,586.25,2.08,-643.48,1189.02
Kota Jayapura,9471,2025-10-13 14:56:16,2016,12631.54,1823.51,10607.96,11416.25,43.46,-10492.95,26029.78
Merauke,9501,2025-10-13 14:56:16,2016,8498.38,130.64,2468.33,3175.91,20.67,-2616.41,11677.52
Boven Digoel,9502,2025-10-13 14:56:16,2016,2474.66,23.64,609.54,1312.91,9.6,-512.25,3918.08
Mappi,9503,2025-10-13 14:56:16,2016,1690.19,34.48,860.77,1023.85,5.04,-1442.5,2171.82
Asmat,9504,2025-10-13 14:56:16,2016,1508.19,22.98,956.22,895.91,4.55,-1555.64,1832.21
Mimika,9601,2025-10-13 14:56:16,2016,9697.65,210.19,4301.1,14610.2,387.35,35756.52,64963.01
Dogiyai,9602,2025-10-13 14:56:16,2016,833.29,22.14,362,414.71,-1.43,-628.77,1001.94
Deiyai,9603,2025-10-13 14:56:16,2016,729.33,3.43,332.75,479.77,1.74,-483.96,1063.06
Nabire,9604,2025-10-13 14:56:16,2016,5639.29,172.69,1603.19,1845.74,13.46,-657.23,8617.13
Paniai,9605,2025-10-13 14:56:16,2016,2688.22,8.58,882.24,1298.87,2.84,-1601.33,3279.41
Intan Jaya,9606,2025-10-13 14:56:16,2016,678.41,4.47,312.75,441.08,1.5,-417.5,1020.71
Puncak,9607,2025-10-13 14:56:16,2016,852.28,13.37,379.34,527.14,6.69,-749.3,1029.52
Puncak Jaya,9608,2025-10-13 14:56:16,2016,973.88,33.56,544.48,476.26,3.08,-907.24,1124.02
Nduga,9701,2025-10-13 14:56:16,2016,680.75,2.37,339.31,433.14,1.1,-548.19,908.49
Jayawijaya,9702,2025-10-13 14:56:16,2016,4718.66,30.84,1318.2,2076.94,7.09,-2021.09,6130.63
Lanny Jaya,9703,2025-10-13 14:56:16,2016,1027.93,17.67,454.7,618.97,2.15,-738.43,1382.99
Tolikara,9704,2025-10-13 14:56:16,2016,1036.25,12.36,592.73,592.51,1.92,-1001.84,1233.93
Mamberamo Tengah,9705,2025-10-13 14:56:16,2016,661.63,6.57,358.92,453.07,1.1,-581.65,899.64
Yalimo,9706,2025-10-13 14:56:16,2016,642.18,7.12,301.35,427.35,0.97,-463.33,915.64
Yahukimo,9707,2025-10-13 14:56:16,2016,1466.42,16.2,778.52,981.01,1.28,-1398.33,1845.08
Pegunungan Bintang,9708,2025-10-13 14:56:16,2016,1250.16,12.58,524.77,683.5,3.99,-1004.84,1470.16
Simeulue,1101,2025-10-13 14:56:16,2017,1394.01,82.94,762.23,898.61,5.48,-1246.24,1897.04
Aceh Singkil,1102,2025-10-13 14:56:16,2017,1451.35,40.2,862.68,661.88,17.97,-907.63,2126.45
Aceh Selatan,1103,2025-10-13 14:56:16,2017,3369.82,102.65,1279.11,1725.44,30.8,-1652.81,4855.01
Aceh Tenggara,1104,2025-10-13 14:56:16,2017,3309.37,157.81,1151.67,1196.53,136.98,-1707.22,4245.13
