KabKota,ID,Timestamp,Tahun,Pengeluaran Konsumsi Rumah Tangga,Pengeluaran Konsumsi LNPRT,Pengeluaran Konsumsi Pemerintah,Pembentukan Modal Tetap Bruto,Perubahan Inventori,Net Ekspor,PDRB
Wakatobi,7407,2025-10-13 14:56:16,2015,1419.32,49.81,676.49,820.5,1.46,-55.49,2912.09
Kolaka Utara,7408,2025-10-13 14:56:16,2015,2745.76,50.2,520,2134.69,38.68,402.02,5891.34
Buton Utara,7409,2025-10-13 14:56:16,2015,940.48,17.88,433.33,814.74,4.24,-45.2,2165.47
Konawe Utara,7410,2025-10-13 14:56:16,2015,945.33,37.76,398.94,711.25,75.6,534.39,2703.27
Kolaka Timur,7411,2025-10-13 14:56:16,2015,2022.69,25.23,315.18,1105.72,91.78,-417.92,3142.69
Konawe Kepulauan,7412,2025-10-13 14:56:16,2015,516.68,11.28,355.51,290.33,4.89,-236.72,941.97
Muna Barat,7413,2025-10-13 14:56:16,2015,1527.96,21.6,299.29,800.08,13.8,-906.36,1756.36
Buton Tengah,7414,2025-10-13 14:56:16,2015,1009.33,18.91,235.17,631.32,6.8,-308.25,1593.27
Buton Selatan,7415,2025-10-13 14:56:16,2015,1190.7,22.3,276.63,737.65,8.27,-240.12,1995.44
Kota Kendari,7471,2025-10-13 14:56:16,2015,8455.27,135.94,3873.75,6265.02,-125.08,-3546.65,15058.26
Kota Baubau,7472,2025-10-13 14:56:16,2015,3596.66,66.03,908.13,2663.6,92.35,-1311.24,6015.52
Boalemo,7501,2025-10-13 14:56:16,2015,2260.01,19.69,796.88,792.03,80.62,-244.34,3704.91
Gorontalo,7502,2025-10-13 14:56:16,2015,5553.97,69.23,1503.89,3382.88,127.69,-1654.31,8983.34
Pohuwato,7503,2025-10-13 14:56:16,2015,2605.58,25.04,813.37,977.88,92.55,55.2,4569.63
Bone Bolango,7504,2025-10-13 14:56:16,2015,1950.03,18.3,917.47,914.21,77.14,-739.24,3137.91
Gorontalo Utara,7505,2025-10-13 14:56:16,2015,1395.13,34.04,556.4,759.9,34.27,-517.29,2262.44
Kota Gorontalo,7571,2025-10-13 14:56:16,2015,3763.89,34.46,2245.49,2132.84,94.42,-2480.37,5790.74
Majene,7601,2025-10-13 14:56:16,2015,2236.88,40.07,881.05,928.55,-66.57,-536.51,3483.47
Polewali Mandar,7602,2025-10-13 14:56:16,2015,5681.51,47.88,1261.28,2449.68,168.31,-236.51,9372.15
Mamasa,7603,2025-10-13 14:56:16,2015,1491.88,38.01,763.67,597.94,24.47,-788.68,2127.29
Mamuju,7604,2025-10-13 14:56:16,2015,4358.55,59.36,2234.87,2612.15,-73.08,-975.78,8216.06
Mamuju Utara,7605,2025-10-13 14:56:16,2015,2139.01,35,570.76,2395.36,-76.87,2507.52,7570.78
Mamuju Tengah,7606,2025-10-13 14:56:16,2015,1412.41,27.65,292.56,580.94,57.98,-69.93,2301.61
Maluku Tenggara Barat,8101,2025-10-13 14:56:16,2015,1488.64,68.74,1101,935.84,24.77,-1719.46,1899.55
Maluku Tenggara,8102,2025-10-13 14:56:16,2015,1472.38,58.58,987.41,831.4,19.36,-1055.93,2313.21
Maluku Tengah,8103,2025-10-13 14:56:16,2015,5349.62,150.89,2157.56,1416.41,18.62,-2612.56,6480.52
Buru,8104,2025-10-13 14:56:16,2015,1541.76,43.66,909.36,743.43,13.02,-1500.44,1750.79
Kepulauan Aru,8105,2025-10-13 14:56:16,2015,1130.77,50.87,875.51,724.19,10.09,-172.73,2618.69
Seram Bagian Barat,8106,2025-10-13 14:56:16,2015,1866.77,49.22,1180.94,954.82,18.66,-1839.88,2230.53
Seram Bagian Timur,8107,2025-10-13 14:56:16,2015,1255.87,31.98,995,705.94,12.73,-792.54,2208.99
Maluku Barat Daya,8108,2025-10-13 14:56:16,2015,749.78,19.1,722.33,414.52,8.16,-725.71,1188.18
Buru Selatan,8109,2025-10-13 14:56:16,2015,892.12,29.02,750.97,422.34,12.14,-1092.9,1013.7
Kota Ambon,8171,2025-10-13 14:56:16,2015,6998.69,213.08,3611.44,2141.48,17.73,-1931.7,11050.72
Kota Tual,8172,2025-10-13 14:56:16,2015,1146.42,33.88,707.48,553.43,15.27,-698.15,1758.33
Halmahera Barat,8201,2025-10-13 14:56:16,2015,1031.79,54.86,553.9,352.41,16.09,-375.17,1633.88
Halmahera Tengah,8202,2025-10-13 14:56:16,2015,603.7,23.25,560.53,698.65,130.63,-473.26,1543.5
Kepulauan Sula,8203,2025-10-13 14:56:16,2015,975.06,9.66,443.45,495.94,100.46,-232.03,1792.56
Halmahera Selatan,8204,2025-10-13 14:56:16,2015,2620.42,19.78,775.7,1265.02,80.44,-774.16,3987.19
Halmahera Utara,8205,2025-10-13 14:56:16,2015,2174.45,47.72,1023.09,1240.28,-254.95,-132.48,4098.11
Halmahera Timur,8206,2025-10-13 14:56:16,2015,984.61,46.01,689.35,974.44,84.33,-461.86,2316.88
Pulau Morotai,8207,2025-10-13 14:56:16,2015,535.06,4.74,259.35,325.65,3.29,-47.51,1080.58
Pulau Taliabu,8208,2025-10-13 14:56:16,2015,461.33,1.23,127.22,216.09,-69.17,232.98,969.68
Kota Ternate,8271,2025-10-13 14:56:16,2015,5055.51,85.43,2471.45,1142.14,-336.68,-1323.23,7094.62
Kota Tidore Kepulauan,8272,2025-10-13 14:56:16,2015,1117.46,30.71,1928.22,447.02,-112.98,-1327.58,2082.85
