KabKota,SImdasi ID,Timestamp,Tahun,"A Pertanian, Kehutanan, dan Perikanan",B Pertambangan dan Penggalian,C Industri Pengolahan,D Pengadaan Listrik dan Gas,"E Pengadaan Air; Pengelolaan Sampah, Limbah, dan Daur Ulang",F Konstruksi,G Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor,H Transportasi dan Pergudangan,I Penyediaan Akomodasi dan Makan Minum,J Informasi dan Komunikasi,K Jasa Keuangan dan Asuransi,L Real Estat,"M,N Jasa Perusahaan","O Administrasi Pemerintahan, Pertahanan, dan Jaminan Sosial Wajib",P Jasa Pendidikan,Q Jasa Kesehatan dan Kegiatan Sosial,"R,S,T,U Jasa Lainnya",Produk Domestik Bruto
Simeulue,1101000,2025-03-10 14:24:37,2024,1199.26,42.81,42.07,5.6,0.38,262.2,417.82,79.15,54.69,123.21,51.86,103.16,4.47,461.7,109.86,161.09,31.44,3150.76
Aceh Singkil,1102000,2025-03-10 14:24:37,2024,1118.96,37.15,224.74,5.48,1.53,321.13,423.33,186.98,43.49,117.83,66.91,90.72,20.4,496.93,95.22,151.19,39.09,3441.08
Aceh Selatan,1103000,2025-03-10 14:24:37,2024,2278.58,192.74,223.99,5.2,2.01,1156.23,1147.33,356.4,39.47,317.08,163.46,255.93,35.93,824.79,228.11,138.76,100.24,7466.23
Aceh Tenggara,1104000,2025-03-10 14:24:37,2024,2905.26,58.6,124.98,6.54,1.06,390.09,935.6,283.01,45.97,103.91,169.26,233.85,24.21,875.94,177.34,271.93,130.33,6737.89
Aceh Timur,1105000,2025-03-10 14:24:37,2024,6705.12,844.91,662.65,14.76,5.59,1011.53,1377.19,758.17,190.23,325.82,251.68,550,36.97,1269.32,282.64,449.14,199.63,14935.34
Aceh Tengah,1106000,2025-03-10 14:24:37,2024,4921.63,104.59,254.28,8.21,4.56,1111.5,1460.78,394.96,236.47,284.17,214.4,259.08,48.57,884.33,184.59,221.46,127.83,10721.42
Aceh Barat,1107000,2025-03-10 14:24:37,2024,4046.16,3419.9,265.73,12.44,2.85,1225.4,1850.47,577.51,153.85,291.06,217.09,295.78,42.5,1009.61,241.21,336.4,65.27,14053.24
Aceh Besar,1108000,2025-03-10 14:24:37,2024,3870.59,963.02,425.03,11.86,9.51,3542.71,3067.75,2075.41,393.66,760.53,205,1021.9,54.7,1072.78,292.54,412.02,233.05,18412.05
Pidie,1109000,2025-03-10 14:24:37,2024,5876.04,424.07,407.37,13.25,2.07,959.55,2207.23,964.94,240.23,286.39,164.12,447.14,78.9,1439.76,312.8,471.49,254.06,14549.43
Bireuen,1110000,2025-03-10 14:24:37,2024,6044.34,377.71,247.76,12.36,11.38,1598.42,4312.44,1692.49,247.12,406.47,200.29,485.36,60.33,1560.04,330.09,545.38,248.98,18380.96
Aceh Utara,1111000,2025-03-10 14:24:37,2024,10050.42,7194.86,2032.08,22.15,8.66,1353.6,3447.25,1597.26,172.79,403.46,402.47,737.82,72.78,938.03,562.18,754.84,333.08,30083.73
Aceh Barat Daya,1112000,2025-03-10 14:24:37,2024,1666.76,60.36,174.02,4.91,0.42,785.6,939.85,334.38,50.42,112.21,106.76,133.27,15.77,478.41,143.45,191.71,169.64,5367.93
Gayo Lues,1113000,2025-03-10 14:24:37,2024,1435.59,39.9,375.33,2.72,1.19,336.07,393.38,79.79,43.22,46.33,36.96,99.8,5.27,429.92,97.41,145.57,14.57,3583.01
Aceh Tamiang,1114000,2025-03-10 14:24:37,2024,4762.62,1808.33,1050.53,7.86,5.37,529.6,958.38,409.07,164.19,270.34,111.22,372.25,31.73,384.66,202.33,288.18,185.73,11542.4
Nagan Raya,1115000,2025-03-10 14:24:37,2024,6252.46,1445.04,582.58,7.96,0.96,1010.1,1080.71,384.43,44.87,210.67,128.51,246.23,26.68,517.83,220.81,219.09,52.78,12431.71
Aceh Jaya,1116000,2025-03-10 14:24:37,2024,1191.54,95.38,184.49,4.19,0.62,555.32,376.1,279.01,34.32,87.74,18.56,115.46,3.39,450.09,109.36,81.35,19.75,3606.65
Bener Meriah,1117000,2025-03-10 14:24:37,2024,3507.94,45.22,130.7,5.12,1.48,927.58,427.63,308.38,30.4,73.33,135.87,111.65,13.8,492.82,107.18,132.66,68.86,6520.63
Pidie Jaya,1118000,2025-03-10 14:24:37,2024,2200.63,59.95,162.37,4.85,1.07,284.47,553.19,222.82,60.16,124.16,34.41,167.3,13.27,524.56,164.92,114.14,32.56,4724.84
Kota Banda Aceh,1171000,2025-03-10 14:24:37,2024,458.49,,541.49,85.56,43.21,1468.05,5543.51,2886.61,1313.4,1294.4,702.69,1880.74,577.47,5741.91,1828.82,1106.84,551.94,26025.15
Kota Sabang,1172000,2025-03-10 14:24:37,2024,132.36,12.93,46.03,3,3.78,540.74,314.3,67.7,73.52,35.69,45.04,62.19,3.82,270.97,80.7,131.68,36.65,1861.1
Kota Langsa,1173000,2025-03-10 14:24:37,2024,653.5,20.9,659.99,6.86,4.32,669.18,2225.09,599.83,288.92,373.42,191.83,272.12,70.94,557,152.87,377.1,199.99,7323.86
Kota Lhokseumawe,1174000,2025-03-10 14:24:37,2024,1102.18,43.04,1978.23,18.77,2,1535.28,2753.46,1470.9,272.39,408.71,317.29,519.47,122.62,534.64,178.51,421.82,168.94,11848.24
Kota Subulussalam,1175000,2025-03-10 14:24:37,2024,691.71,31.04,534.99,1.92,0.38,395.27,459.64,143.95,25.54,65,44.97,75.44,7.14,164.75,56.79,48.49,14.83,2761.85
Nias,1201000,2025-03-10 14:24:37,2024,2581.09,471.43,10.5,4.78,0.49,562.28,515.66,88.1,95.04,13.6,77.87,105.59,4.11,654.51,70.6,39.32,9.65,5304.62
Mandailing Natal,1202000,2025-03-10 14:24:37,2024,10075.59,113.72,2219.43,11.37,3.54,2276.94,2719.1,385.1,129.65,124.82,206.46,434.89,17.65,1199.65,215.56,139.73,6.19,20279.38
Tapanuli Selatan,1203000,2025-03-10 14:24:37,2024,9264.38,3039.03,1330.56,9.74,17.58,2300.15,2339.52,370.52,300.44,114.05,171.97,386.51,10.7,1313.59,138.09,161.96,7.54,21276.31
Tapanuli Tengah,1204000,2025-03-10 14:24:37,2024,6427.98,33.17,1539.45,70.1,16.13,1658.38,1698.63,363.17,181.37,85.54,123.47,253.89,44.97,992.21,125.19,44.89,12.74,13671.28
Tapanuli Utara,1205000,2025-03-10 14:24:37,2024,5058.48,7.85,246.19,9.43,10.21,1566.27,1837.17,590.35,277.64,83.3,168.43,242.33,33.45,892.62,164.7,76.17,14.55,11279.15
Toba Samosir,1206000,2025-03-10 14:24:37,2024,3156.41,27.2,1187.93,6.69,4.41,1453.76,2003.21,341.62,261.84,127.56,156.43,279.96,92.74,842,242.76,85.29,14.63,10284.43
Labuhan Batu,1207000,2025-03-10 14:24:37,2024,14976.15,326.26,16525.51,23.86,13.55,3986.94,9125.72,857.92,629.79,308.9,521.74,1149.99,78.6,1252.55,776.99,196.67,50.62,50801.78
Asahan,1208000,2025-03-10 14:24:37,2024,24975.14,96.57,11898.45,32.84,27.04,3309.94,10431.03,2050.94,399.49,213.39,656.88,832.86,22.97,1503.65,371.14,323.08,312.53,57457.93
Simalungun,1209000,2025-03-10 14:24:37,2024,33338.06,112.33,5863.36,30.82,40.5,4823.92,8976.33,1032.36,461.87,299.42,563.61,437.14,49,2085.09,516.68,214.19,61.43,58906.11
Dairi,1210000,2025-03-10 14:24:37,2024,5630.56,8.08,48.61,9.31,8.26,1626.55,2257.91,554.22,324.58,125.17,260.97,347.98,7.86,1148.33,247.58,85.25,2.65,12693.88
Karo,1211000,2025-03-10 14:24:37,2024,15312.17,57.87,1076.36,17.71,20.45,2038.07,3244.23,1654.9,746.75,231.13,399.25,947.43,59.02,1622.53,675.52,357.56,406.94,28867.89
Deli Serdang,1212000,2025-03-10 14:24:37,2024,16853.32,1003.54,43841.82,161.78,58.91,24301.39,26938.78,15578.3,4048.22,1933.86,3881.43,5426.14,736.58,2748.15,2108.78,1393.44,436.96,151451.4
Langkat,1213000,2025-03-10 14:24:37,2024,27695.51,5418.6,8892.28,103.67,18.78,4490.89,6543.62,1510.37,1252.82,629.98,1089.69,1607.19,327.94,1808.68,617.27,279.66,124.52,62411.48
Nias Selatan,1214000,2025-03-10 14:24:37,2024,4067.13,525,15.17,4.86,2.51,1338.47,839.17,385.74,207.52,71.52,120.37,454.46,2.81,787.72,215.3,79.73,10.96,9128.45
Humbang Hasundutan,1215000,2025-03-10 14:24:37,2024,3636.53,52.4,124.17,5.36,4.39,1224.31,1400.11,214.61,265.55,67.52,85.73,242.09,10.91,795.29,76.63,51.87,14.93,8272.39
Pakpak Bharat,1216000,2025-03-10 14:24:37,2024,980.92,0.72,2.97,3.25,1.08,174.77,223.11,38.12,40.27,11.34,14.36,24.38,0.32,175.86,20.16,6.75,0.37,1718.75
Samosir,1217000,2025-03-10 14:24:37,2024,3049,37.94,30.06,2.98,2.82,743.63,765.51,236.14,333.15,51.85,47.03,123.31,6.79,580.95,49.86,33.73,5.64,6100.41
Serdang Bedagai,1218000,2025-03-10 14:24:37,2024,18661.8,380.55,7245.6,33.58,4.7,3848.5,6502.21,348.28,937.27,290.96,244.71,1230.43,224.82,1036.92,499.08,330.67,191.93,42012.01
Batu Bara,1219000,2025-03-10 14:24:37,2024,10667.33,57.75,21073.41,21.29,12.48,2882.67,8587.15,1445.73,490.11,224.38,127.22,515.55,47.89,796.96,176.72,141.92,49.03,47317.58
Padang Lawas Utara,1220000,2025-03-10 14:24:37,2024,7664.71,47.97,3423.45,26.93,6.91,2233.99,2046.11,386.97,169.2,85.36,118.91,768.79,10.48,640,110.27,85.24,5.99,17831.27
Padang Lawas,1221000,2025-03-10 14:24:37,2024,9716.87,80.66,2991.69,30.91,0.15,2597.25,1140.02,231.54,165.34,99.37,127.81,582.52,8.75,411.03,58.92,81.51,6.05,18330.4
Labuhan Batu Selatan,1222000,2025-03-10 14:24:37,2024,13583.7,111.28,17137.51,16.85,6.95,2648.25,5340.05,444.01,315.13,167.57,332.67,912.65,52.02,513,173.89,119.49,34.63,41909.64
Labuhan Batu Utara,1223000,2025-03-10 14:24:37,2024,14818.29,207.87,9786.89,21.3,5.26,2272.81,6032.47,480.71,343.97,138.93,256.76,1075.66,55.96,702.88,201.92,136.19,44.14,36582
Nias Utara,1224000,2025-03-10 14:24:37,2024,2525.98,291.46,10.41,5.83,1.95,422.72,582.07,89.65,122.21,20.26,81.84,133.89,2.35,355.83,90,40.7,13.25,4790.41
Nias Barat,1225000,2025-03-10 14:24:37,2024,1342.86,87.14,6.07,2.99,0.66,250.64,342.41,43.49,42.04,12.32,45.19,66.57,2.47,216.53,44.29,18.91,7,2531.58
Kota Sibolga,1271000,2025-03-10 14:24:37,2024,1280.41,0.15,364.13,6.41,19.19,861.47,1998.33,716.52,359.79,86.48,191.66,327.21,41.88,527.07,294.98,100.6,25.31,7201.6
Kota Tanjung Balai,1272000,2025-03-10 14:24:37,2024,1673.21,200.17,2560.33,77.19,17.17,1877.18,2985.87,749.04,251.98,109.99,203.65,360.8,36.14,695.76,164.08,101.81,143.36,12207.74
Kota Pematang Siantar,1273000,2025-03-10 14:24:37,2024,257.99,1.44,3185.92,50.12,49.98,1835.75,4792.28,1337.64,1009.9,289.25,707.49,1240.52,165.71,987.66,1143.69,195.77,100.57,17351.67
Kota Tebing Tinggi,1274000,2025-03-10 14:24:37,2024,97.54,10.69,860.91,10.2,15.62,1114.82,2019.47,659.7,309.56,174.15,421.43,612.28,38.2,876.77,483.87,93.93,75.98,7875.11
Kota Medan,1275000,2025-03-10 14:24:37,2024,2959.78,2.91,46351.46,298.25,589.37,60688.42,87897.6,21690.73,10100.82,19402.4,18516.67,28357.86,10075.45,4989.17,7867.32,5568.02,4252.93,329609.17
Kota Binjai,1276000,2025-03-10 14:24:37,2024,474.07,385.62,1787.73,17.69,16.65,1837.9,4716.2,1265.34,882.17,417.66,521.01,1149.41,137.52,1051,680.68,165.96,82.15,15588.75
Kota Padangsidimpuan,1277000,2025-03-10 14:24:37,2024,914.63,37.89,354.88,12.52,13.78,922.55,2073.34,646.55,547.04,234.31,512.14,385.83,46.56,800.96,910.49,115.59,47.92,8576.98
Kota Gunungsitoli,1278000,2025-03-10 14:24:37,2024,1058.06,192.51,13.87,6.59,6.96,1448.73,2047.05,677.71,303.46,125.8,249.24,381.29,23.95,355.37,346.38,58.68,26.25,7321.91
Kepulauan Mentawai,1301000,2025-03-10 14:24:37,2024,3000.49,98.44,155.02,1.79,0.25,879.81,871.87,446.19,55.85,66.54,7.44,57.74,2.7,421.07,70.24,47.56,62.81,6245.8
Pesisir Selatan,1302000,2025-03-10 14:24:37,2024,7008.36,633.68,1273.22,8.74,11.06,2258.63,2451.7,739.2,251.29,1378.14,416.4,262.68,9.42,1308.56,629.41,292.04,249.62,19182.15
Solok,1303000,2025-03-10 14:24:37,2024,6118.97,1000,889.49,4.88,9.5,1817.55,2164.58,1966.17,188.7,1287.1,321.37,165.32,12.96,1217.59,706.59,309.58,211.64,18391.99
Sijunjung,1304000,2025-03-10 14:24:37,2024,3470.88,1546.06,351.75,4.89,5.19,1835.67,1560.85,891.34,106.14,441,299.54,145.26,2.53,657.91,629.46,278.57,261.9,12488.94
Tanah Datar,1305000,2025-03-10 14:24:37,2024,4755.59,564.64,1816.49,4.09,18.53,1849.79,2485.92,1559.68,140.23,975.47,457.85,298.7,6.71,1248.73,653.48,298.43,361.71,17496.03
Padang Pariaman,1306000,2025-03-10 14:24:37,2024,5414.88,1693.09,2763.25,8.15,12.09,2720.74,2732.82,6012.71,334.55,966.55,411.94,274.34,20.15,1375.02,1461.52,186.95,420.21,26808.95
Agam,1307000,2025-03-10 14:24:37,2024,7906.65,999.71,2890.97,6.24,13.38,2537.6,5528.52,1858.75,248.19,1682.37,336.03,565.34,9.92,1279.54,1476.97,380.54,254.94,27975.68
Lima Puluh Kota,1308000,2025-03-10 14:24:37,2024,6558.34,1636.84,1387.67,3.12,6.12,1125.34,3285.02,2126.15,172.05,1269.81,356.72,246.01,6.22,1275.96,694.9,374.56,325.78,20850.62
Pasaman,1309000,2025-03-10 14:24:37,2024,5617.43,234.97,459.67,2.44,10.49,700.28,1792.37,570.1,113.03,661.52,274.33,168.9,6.33,931.77,336.89,142.13,142.6,12165.24
Solok Selatan,1310000,2025-03-10 14:24:37,2024,2139.61,670.07,308.58,3.76,3.39,961.88,1625.03,477.98,65.46,413.11,58.04,62.9,1.09,388.93,192.38,107.81,107.86,7587.87
Dharmasraya,1311000,2025-03-10 14:24:37,2024,3935.77,799.22,719.79,2.7,1.48,2115.79,2204.41,871.58,146.66,992.05,321.74,321.88,2.73,1046.3,431.3,287.06,127.16,14327.63
Pasaman Barat,1312000,2025-03-10 14:24:37,2024,8499.11,351.43,2708.8,4.58,2.21,1627.06,2759.58,1108.25,147.22,1227.51,397.3,340.2,12.64,910.45,569.71,287.77,161.83,21115.66
Kota Padang,1371000,2025-03-10 14:24:37,2024,4170.54,2644.32,8991.31,75.96,123.28,8786.43,14745.73,13202.98,1140.19,7136.64,4455.57,2796.08,1218.73,5889.55,4366.17,1719.46,2719.6,84182.56
Kota Solok,1372000,2025-03-10 14:24:37,2024,276.54,30.96,232.82,3.07,9.23,752.34,1432.95,818.09,138.5,396.52,247.07,150.77,0.95,467.45,323.46,95.52,184.93,5561.16
Kota Sawah Lunto,1373000,2025-03-10 14:24:37,2024,442.91,184.65,568.04,82.81,18.2,554.29,782.3,411.29,116.28,451.29,172.38,92.22,6.93,610.25,165.47,69.18,329.51,5058
Kota Padang Panjang,1374000,2025-03-10 14:24:37,2024,237.31,11.76,394.68,2.67,11.37,455.95,869.77,559.87,137.45,469.84,204.88,173.71,3.73,452.81,452.73,75.72,242.71,4756.96
Kota Bukittinggi,1375000,2025-03-10 14:24:37,2024,122.4,0.21,588.13,71.89,15.34,758,4054.45,1189.84,580.86,854.87,672.48,391.03,73.47,732.37,678.64,468.73,494.7,11747.42
Kota Payakumbuh,1376000,2025-03-10 14:24:37,2024,524.23,45.73,454.12,4.96,21.26,1285.03,2357.52,1113.27,328.69,801.03,565.64,276.09,21.76,682,438.16,156.02,345.48,9421
Kota Pariaman,1377000,2025-03-10 14:24:37,2024,1182,115.08,473.71,4.75,2.34,1032.69,1062.78,693.98,182.76,594.32,189.46,197.91,9.14,412.95,305.16,95.13,247.71,6801.89
Kuantan Singingi,1401000,2025-03-10 14:24:37,2024,27253.27,2315.52,13517.78,29.75,7.54,4256.82,2000.18,294.66,126.52,181.1,258.09,323.97,0.39,868.89,254.2,117.58,189.42,51995.69
Indragiri Hulu,1402000,2025-03-10 14:24:37,2024,18492.71,5756.33,16635.88,39.35,20.96,8608.95,6453.04,638.27,455.27,450.54,525.51,685.23,1.59,771.76,418.84,133.76,389.84,60477.84
Indragiri Hilir,1403000,2025-03-10 14:24:37,2024,43748.66,1084.95,24266.11,54.97,9.66,6171.77,14159.52,1007.19,413.89,537.04,495.6,709.56,2.33,1253.16,485.02,188.65,396.98,94985.06
Pelalawan,1404000,2025-03-10 14:24:37,2024,31633.62,1463.49,37997.65,29.35,3.94,1849.67,2161.15,175.56,127.02,344.89,374.03,404.89,0.68,602.52,202.42,118.05,197.03,77685.96
Siak,1405000,2025-03-10 14:24:37,2024,28904.07,29210.27,49786.13,12.89,4,6572.5,2748.17,174.43,61.86,293.81,428.46,490.72,6.05,893.77,619.8,296.6,619.27,121122.79
Kampar,1406000,2025-03-10 14:24:37,2024,40873.54,28957.1,28647.11,74.77,5.44,8928.92,4096.21,449.18,97,458.7,461.18,996.25,3.48,1272.17,548.01,253.95,301.23,116424.25
Rokan Hulu,1407000,2025-03-10 14:24:37,2024,30985.12,2519.75,14560.94,49.05,2.65,1962.39,3085.23,325.96,154.53,472.13,457.28,298.32,2.12,1233.72,200.26,118.79,218.5,56646.72
Bengkalis,1408000,2025-03-10 14:24:37,2024,20832.37,103137.6,27221.55,59.43,20.01,6464.69,12343.02,483.71,529.54,738.04,513.72,526.04,6.36,1649.59,542.82,184.58,460.74,175713.79
Rokan Hilir,1409000,2025-03-10 14:24:37,2024,38731.59,35446.05,20396.8,29.49,3.88,1125.63,4330.72,145.05,262.76,265.98,332.8,332.12,0.21,600.48,237.34,81.97,170.68,102493.58
Kepulauan Meranti,1410000,2025-03-10 14:24:37,2024,11126.18,4292.4,6459.33,12.67,0.89,1685.52,2488.48,446.61,83.76,156.64,75.68,110.21,0.81,380.45,53.82,19.02,76.37,27468.84
Kota Pekanbaru,1471000,2025-03-10 14:24:37,2024,2602.93,25.32,35213.42,358.38,20.23,51528.92,52745.01,4137.84,2880.38,4189.1,5316.27,3934.82,24.55,3981.73,1666.78,1180.31,1500.55,171306.52
Kota Dumai,1473000,2025-03-10 14:24:37,2024,2851.57,159.03,31824.12,157.42,9.15,5792.11,7601.09,1128.03,426.9,576.45,562.29,208.38,2.06,767.36,225.8,112.6,263.75,52668.1
Kerinci,1501000,2025-03-10 14:24:37,2024,7188.27,256.15,406.4,6.19,39.84,1760.1,1517.19,293.45,98.94,1044.49,133.75,216.25,7.09,789.89,546.39,222.73,192.14,14719.25
Merangin,1502000,2025-03-10 14:24:37,2024,13410.65,551.96,1915.04,17.19,36.99,1404.14,3280.99,433.6,437.28,935.68,298.52,443.55,36.51,875.98,761.1,352.21,280.99,25472.37
Sarolangun,1503000,2025-03-10 14:24:37,2024,7216.61,4799.01,882.29,10.13,28.26,2782.3,2127.43,477.52,422.65,770.01,547.52,269.27,73.99,1113.16,558.78,328.58,293.72,22701.23
Batang Hari,1504000,2025-03-10 14:24:37,2024,11310.9,3441.12,2629.77,14.92,16.48,1365.79,2485.9,432.7,88.73,932.79,379.58,274.51,24.61,1068.45,1056.79,395.71,231.04,26149.8
Muaro Jambi,1505000,2025-03-10 14:24:37,2024,19090.49,3913.82,5590.87,19.66,34.31,2946.59,2373.35,1201.36,210.63,908.04,578.74,474.31,515.3,1047.34,664.99,401.28,504.89,40475.99
Tanjung Jabung Timur,1506000,2025-03-10 14:24:37,2024,6596.07,9837.39,2197.18,6.94,19.88,1642.59,2760.64,449.52,119.89,550.08,260.21,205.85,561.08,700.01,1085.97,200.34,102.62,27296.26
Tanjung Jabung Barat,1507000,2025-03-10 14:24:37,2024,19269.22,14446.57,9777,18.91,37.01,2908.71,2725.95,523.48,292.99,1202.92,602.29,428.55,894.74,940.61,1029.93,323.41,310.57,55732.85
Tebo,1508000,2025-03-10 14:24:37,2024,13562.97,1184.59,1461.64,20.91,10.11,1337.65,2584.66,314.34,70.31,807.34,260.83,381.33,15.91,876.89,477.29,221.04,321.12,23908.92
Bungo,1509000,2025-03-10 14:24:37,2024,7421.67,3801.62,1769.02,17.11,48.54,2965.1,4318.84,686.03,691.91,1322.9,999.5,641.24,71.08,1063.55,1191.31,193.57,153.41,27356.37
Kota Jambi,1571000,2025-03-10 14:24:37,2024,362.8,521.2,4543.82,107.77,109.66,3655.87,14752.21,4818.28,1140.3,1917.53,2310.4,1022.86,1890.86,3077.79,1740.2,1089.94,313.96,43375.48
Kota Sungai Penuh,1572000,2025-03-10 14:24:37,2024,482.11,81.72,63.77,2.77,23.3,1046.25,3245.37,425.44,117.66,1385.39,486.19,263.52,634.24,581.95,948.11,261.65,231.36,10280.79
Ogan Komering Ulu,1601000,2025-03-10 14:24:37,2024,3289.76,2733.87,3949.21,16.95,27.4,2316.29,4237.19,428.12,661.94,181.65,489.84,865.73,21.17,354.07,468.91,243.93,179.16,20465.17
Ogan Komering Ilir,1602000,2025-03-10 14:24:37,2024,20855.31,427.26,10305.94,25.5,9.74,5698.46,4707.26,332.22,488.6,233.81,356.93,810.35,27.37,1555.85,558.45,60.83,195.14,46649.01
Muara Enim,1603000,2025-03-10 14:24:37,2024,7307.54,81223.87,11421.4,124.38,18.38,3858.33,6855.77,1334.81,460.68,579.14,383.14,857.02,12.31,842.05,913.17,333.86,198.56,116724.41
Lahat,1604000,2025-03-10 14:24:37,2024,4189.2,15822.72,1200.22,182.26,6.31,1921.68,2962.16,264.43,372.49,186.72,320.45,528.49,10.85,1086.06,622.41,184.62,119.59,29980.66
Musi Rawas,1605000,2025-03-10 14:24:37,2024,7853.61,7329.47,3717.64,7.38,1.71,1360.48,2771.3,113.48,101.39,108.15,143.93,336.21,5.44,486.19,695.83,188.08,251.56,25471.85
Musi Banyuasin,1606000,2025-03-10 14:24:37,2024,11207.22,46139.57,11048.19,49.14,15.17,7598.87,5466.17,237.74,215.89,318.91,1587.98,2321.39,40.43,3722.97,1816.25,354.8,526.2,92666.87
Banyu Asin,1607000,2025-03-10 14:24:37,2024,12382.49,1999.56,10072.45,43.72,5.06,5227.56,6181.55,227.51,195.72,893.95,97.19,244.45,5.21,822.24,916.16,200.46,114.83,39630.12
Ogan Komering Ulu Selatan,1608000,2025-03-10 14:24:37,2024,3545.33,195.27,974.97,11.67,4.63,2074.69,2909.59,104.96,147.19,94.03,96.29,541.33,2.88,518.88,445.02,143.85,97.8,11908.37
Ogan Komering Ulu Timur,1609000,2025-03-10 14:24:37,2024,6871.43,430.73,2125.73,13.84,2.92,3807.16,4176.1,237.58,411.41,251.75,173.72,531.84,10.05,1443.35,394.31,184.6,173.24,21239.75
Ogan Ilir,1610000,2025-03-10 14:24:37,2024,3118.75,953.22,1843.46,11.51,4.49,2532.51,3263.5,194.31,804.67,58.15,224.58,433.95,20.36,1284.75,301.8,110.9,79.97,15240.88
Empat Lawang,1611000,2025-03-10 14:24:37,2024,2288.33,211.72,820.7,6.39,2.45,692.99,1519.92,106.8,119.64,69.35,139.33,280.37,1.82,236.64,114.26,49.91,61.38,6722.01
Penukal Abab Lematang Ilir,1612000,2025-03-10 14:24:37,2024,1471.41,3654.6,251.63,2.75,6.6,1399.16,1620.18,11.94,205.4,86.86,81.33,293.69,2.7,111.51,167.06,13.56,5.94,9386.33
Musi Rawas Utara,1613000,2025-03-10 14:24:37,2024,4632.15,2088.54,626.52,2.47,1.42,495.15,809.95,100.24,34.8,29.74,62.15,142.35,5.46,207.69,307.17,65.76,84.77,9696.34
Kota Palembang,1671000,2025-03-10 14:24:37,2024,842.2,8.23,65950.98,375.14,536.32,31976.96,39099.69,11950.75,8085.19,16104.61,9234.45,10129.35,367.19,4071.13,5877.72,1511.27,2075.5,208196.68
Kota Prabumulih,1672000,2025-03-10 14:24:37,2024,619.5,863.26,1142.83,21.67,3.58,1803.36,2859.76,288.54,447.91,135.42,440.6,798.63,84.61,360.66,310,294.92,57.99,10533.23
Kota Pagar Alam,1673000,2025-03-10 14:24:37,2024,908.53,85.85,71.01,2.26,2.05,584.22,785.53,121.59,162.71,61.2,140.56,205.13,3.73,114.92,385.51,76.09,100.14,3811.06
Kota Lubuklinggau,1674000,2025-03-10 14:24:37,2024,415.54,133.41,624.06,10.42,14.17,1838.36,2063.73,566.38,451.7,131.85,391.65,748.08,112.07,197.97,422.03,169.41,427.02,8717.86
Bengkulu Selatan,1701000,2025-03-10 14:24:37,2024,2695.51,157.86,222.01,7.6,10.42,439.52,1251.15,526.32,165.69,253.11,405.82,276.21,22.04,827.48,405.06,139.64,58.66,7864.1
Rejang Lebong,1702000,2025-03-10 14:24:37,2024,4244.46,152.2,501.81,12.33,20.03,532.95,2126.2,768.83,275.86,364.22,374.17,411.33,21.48,1274.53,1337.7,441.08,206.95,13066.13
Bengkulu Utara,1703000,2025-03-10 14:24:37,2024,4956.05,1923.74,874.72,10.32,20.51,539.16,1098.73,341.07,95.16,267.8,411.96,289.37,15.1,977.7,701.88,184.98,73.28,12781.53
Kaur,1704000,2025-03-10 14:24:37,2024,2551.25,176.89,181.63,3.67,9.36,328.12,437.24,259.32,72.04,158.6,51.61,161.73,2.72,385.75,138.35,30.73,14.58,4963.57
Seluma,1705000,2025-03-10 14:24:37,2024,3059.54,183.33,523.31,6.73,9.91,364.06,511.43,146.02,111.7,75.96,48.26,240.76,8.36,636.13,306.25,63.61,49.56,6344.92
Mukomuko,1706000,2025-03-10 14:24:37,2024,3605.69,185.14,816.83,5.67,10.72,298.13,1166.99,353.13,111.55,80.97,87.26,114.37,8.86,543.28,146.96,24.34,6.53,7566.42
Lebong,1707000,2025-03-10 14:24:37,2024,2001.67,213.07,234.59,5.26,11.66,411.86,377.01,222.97,65.41,77.41,45.3,219.86,8.73,489.51,116.54,44.48,35.39,4580.72
Kepahiang,1708000,2025-03-10 14:24:37,2024,2776.35,114.26,416.35,10.31,9.05,356.35,562.75,168.16,128.64,132.1,66.44,166.61,8.79,900.3,302.96,102.19,43.86,6265.45
Bengkulu Tengah,1709000,2025-03-10 14:24:37,2024,2028.97,1343.97,833.23,2.65,6.43,315.98,478.39,84.79,130.59,42.97,134.24,209.22,6.22,972.98,132.63,37.28,21.36,6781.9
Kota Bengkulu,1771000,2025-03-10 14:24:37,2024,2515,32.83,939.32,36.95,78.91,1483.08,6704.03,6738.6,738.22,2579.6,1351.81,1321.22,2256.35,2199.9,2674.98,1044.79,452.72,33148.31
Lampung Barat,1801000,2025-03-10 14:24:37,2024,4353.85,238.83,526.63,1.26,8.66,433.61,1530.4,400.6,136.04,304.09,176.01,382.24,16.35,647.51,414.2,142.87,190.06,9903.24
Tanggamus,1802000,2025-03-10 14:24:37,2024,7975.71,1422.37,1326.68,11.7,25.41,1533.44,2696.69,1616.34,437.13,785.14,387.81,552.74,20.01,895.57,884.88,316.69,309.27,21197.58
Lampung Selatan,1803000,2025-03-10 14:24:37,2024,15665.73,814.03,14176.48,57.22,69.91,7971.04,9436.5,4030.49,897.48,1584.53,1006.79,1164.31,55.75,1232.67,1381.36,338.89,437.81,60320.97
